text,question,answer_term,ep,sp
" proteins Bcl-xL and Mcl-1, leading to the up-regulation of mitochondrial apoptosis pathway-related proteins (Bax, Bak, cytosolic Cytochrome c, and cleaved Caspase3) and cyclin-dependent kinase inhibitors such as p21 and p27. PTE, used in combination with a known JAK2/STAT3 inhibitor, AG490, further decreased the viability of osteosarcoma cells. Taken together, PTE is a potent inhibitor of osteosarcoma cell growth that targets the JAK2/STAT3 signaling pathway. These data suggest that inhibition of JAK2/STAT3 signaling is a novel mechanism of action for PTE during therapeutic intervention in osteosarcoma cancers.",PTE acts as INHIBITOR for what entity? ,STAT3,-1.0,-1.0
" PTE, used in combination with a known JAK2/STAT3 inhibitor, AG490, further decreased the viability of osteosarcoma cells. Taken together, PTE is a potent inhibitor of osteosarcoma cell growth that targets the JAK2/STAT3 signaling pathway. These data suggest that inhibition of JAK2/STAT3 signaling is a novel mechanism of action for PTE during therapeutic intervention in osteosarcoma cancers.",PTE acts as INHIBITOR for what entity? ,JAK2,-1.0,-1.0
" PTE, used in combination with a known JAK2/STAT3 inhibitor, AG490, further decreased the viability of osteosarcoma cells. Taken together, PTE is a potent inhibitor of osteosarcoma cell growth that targets the JAK2/STAT3 signaling pathway. These data suggest that inhibition of JAK2/STAT3 signaling is a novel mechanism of action for PTE during therapeutic intervention in osteosarcoma cancers.",PTE acts as INHIBITOR for what entity? ,STAT3,-1.0,-1.0
" and Baat), whereas Bsep, Mrp2 and Cyp27a1 were up-regulated. Human HepG2 and Alexander cell lines were used as in vitro models of liver cells with and without constitutive FXR expression, respectively. In HepG2 cells, GCs induced a decreased expression of FXR and SHP, and inhibited the regulatory effect of GW4064 on FXR-target genes. In Alexander cells, only when they were transfected with FXR+RXR, GW4064 caused up-regulation of SHP and OSTβ, and a down-regulation of CYP27A1. GCs had the opposite effect on these genes, both in the absence and in the presence of FXR expression. Co-transfection of Alexander cells with",GW4064 acts as REGULATOR for what entity? ,FXR,176.0,173.0
" a down-regulation of CYP27A1. GCs had the opposite effect on these genes, both in the absence and in the presence of FXR expression. Co-transfection of Alexander cells with IR-1-Luc and FXR+RXR revealed that GCs did not inhibit but moderately enhanced FXR activity. Moreover, GCs have a synergistic effect on GW4064 induced FXR activation, whereas chenodeoxycholate and GW4064 have an additive effect. In conclusion, GCs are able to directly or indirectly activate FXR but they also antagonize, through FXR-independent mechanisms, the expression of FXR and FXR target genes involved in the hepatic handling of BAs.",GW4064 acts as ACTIVATOR for what entity? ,FXR,121.0,118.0
" lines were used as in vitro models of liver cells with and without constitutive FXR expression, respectively. In HepG2 cells, GCs induced a decreased expression of FXR and SHP, and inhibited the regulatory effect of GW4064 on FXR-target genes. In Alexander cells, only when they were transfected with FXR+RXR, GW4064 caused up-regulation of SHP and OSTβ, and a down-regulation of CYP27A1. GCs had the opposite effect on these genes, both in the absence and in the presence of FXR expression. Co-transfection of Alexander cells with IR-1-Luc and FXR+RXR revealed that GCs did not inhibit but moderately enhanced FXR activity.",GW4064 acts as INDIRECT-UPREGULATOR for what entity? ,SHP,345.0,342.0
" lines were used as in vitro models of liver cells with and without constitutive FXR expression, respectively. In HepG2 cells, GCs induced a decreased expression of FXR and SHP, and inhibited the regulatory effect of GW4064 on FXR-target genes. In Alexander cells, only when they were transfected with FXR+RXR, GW4064 caused up-regulation of SHP and OSTβ, and a down-regulation of CYP27A1. GCs had the opposite effect on these genes, both in the absence and in the presence of FXR expression. Co-transfection of Alexander cells with IR-1-Luc and FXR+RXR revealed that GCs did not inhibit but moderately enhanced FXR activity.",GW4064 acts as INDIRECT-UPREGULATOR for what entity? ,OSTβ,-1.0,-1.0
" lines were used as in vitro models of liver cells with and without constitutive FXR expression, respectively. In HepG2 cells, GCs induced a decreased expression of FXR and SHP, and inhibited the regulatory effect of GW4064 on FXR-target genes. In Alexander cells, only when they were transfected with FXR+RXR, GW4064 caused up-regulation of SHP and OSTβ, and a down-regulation of CYP27A1. GCs had the opposite effect on these genes, both in the absence and in the presence of FXR expression. Co-transfection of Alexander cells with IR-1-Luc and FXR+RXR revealed that GCs did not inhibit but moderately enhanced FXR activity.",GW4064 acts as INDIRECT-DOWNREGULATOR for what entity? ,CYP27A1,-1.0,-1.0
" neurons within the nigrostriatal pathway appear intact, Mn-induced irregularities in DA transmission have been observed including decreased amphetamine-induced DA release and loss of the dopamine transporter (DAT). Results of studies to evaluate the effect of Mn and DA on cell viability in control and DAT-transfected HEK cells reveal that Mn is equally toxic to both cell lines whereas DA was only toxic to cells containing DAT. DA toxicity was saturable suggesting that transport may be rate limiting. When Mn and DA were added simultaneously to the media, cell toxicity was similar to that produced by Mn alone suggesting that",Mn acts as REGULATOR for what entity? ,DAT,-1.0,-1.0
" the media, cell toxicity was similar to that produced by Mn alone suggesting that Mn may suppress DA uptake in the DAT containing cells. Preincubation of DA prior to the addition of Mn resulted in cell death which was essentially additive with that produced independently by the two agents. Mn was also shown to decrease DA uptake and amphetamine-induced DA efflux in DAT containing cells. Time-lapsed confocal microscopy indicates that Mn can promote trafficking of cell surface DAT into intracellular compartments which may account for the decrease in DA uptake and DA efflux in these cells. Mn-induced internalization of",Mn acts as REGULATOR for what entity? ,DAT,119.0,116.0
 DAT containing cells. Preincubation of DA prior to the addition of Mn resulted in cell death which was essentially additive with that produced independently by the two agents. Mn was also shown to decrease DA uptake and amphetamine-induced DA efflux in DAT containing cells. Time-lapsed confocal microscopy indicates that Mn can promote trafficking of cell surface DAT into intracellular compartments which may account for the decrease in DA uptake and DA efflux in these cells. Mn-induced internalization of DAT may provide an explanation for disruption in DA transmission previously reported in the striatum.,Mn acts as REGULATOR for what entity? ,DAT,4.0,1.0
 two agents. Mn was also shown to decrease DA uptake and amphetamine-induced DA efflux in DAT containing cells. Time-lapsed confocal microscopy indicates that Mn can promote trafficking of cell surface DAT into intracellular compartments which may account for the decrease in DA uptake and DA efflux in these cells. Mn induced internalization of DAT may provide an explanation for disruption in DA transmission previously reported in the striatum.,Mn acts as REGULATOR for what entity? ,DAT,93.0,90.0
" effect of manganese on dopamine toxicity and dopamine transporter (DAT) in control and DAT transfected HEK cells.Chronic exposure to Mn results in the development of a neurological disorder known as manganism characterized by neurological deficits resembling that seen in Parkinsonism. Although dopaminergic neurons within the nigrostriatal pathway appear intact, Mn induced irregularities in DA transmission have been observed including decreased amphetamine-induced DA release and loss of the dopamine transporter (DAT). Results of studies to evaluate the effect of Mn and DA on cell viability in control and DAT-transfected HEK cells reveal that Mn is equally toxic to both cell",Mn acts as REGULATOR for what entity? ,dopamine transporter,66.0,46.0
" effect of manganese on dopamine toxicity and dopamine transporter (DAT) in control and DAT transfected HEK cells.Chronic exposure to Mn results in the development of a neurological disorder known as manganism characterized by neurological deficits resembling that seen in Parkinsonism. Although dopaminergic neurons within the nigrostriatal pathway appear intact, Mn induced irregularities in DA transmission have been observed including decreased amphetamine-induced DA release and loss of the dopamine transporter (DAT). Results of studies to evaluate the effect of Mn and DA on cell viability in control and DAT-transfected HEK cells reveal that Mn is equally toxic to both cell",Mn acts as REGULATOR for what entity? ,DAT,91.0,88.0
" Effects of 2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridin (PhIP) on histopathology, oxidative stress, and expression of c-fos, c-jun and p16 in rat stomachs.2-Amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhIP) is one of the most abundant heterocyclic amines (HCAs) generated from overcooking meat at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP","2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine acts as INDIRECT-REGULATOR for what entity? ",c-fos,-1.0,-1.0
" Effects of 2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridin (PhIP) on histopathology, oxidative stress, and expression of c-fos, c-jun and p16 in rat stomachs.2-Amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhIP) is one of the most abundant heterocyclic amines (HCAs) generated from overcooking meat at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP","2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine acts as INDIRECT-REGULATOR for what entity? ",c-jun,136.0,131.0
" Effects of 2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridin (PhIP) on histopathology, oxidative stress, and expression of c-fos, c-jun and p16 in rat stomachs.2-Amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhIP) is one of the most abundant heterocyclic amines (HCAs) generated from overcooking meat at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP","2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine acts as INDIRECT-REGULATOR for what entity? ",p16,144.0,141.0
" Effects of 2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhI ) on histopathology, oxidative stress, and expression of c-fos, c-jun and p16 in rat stomachs.2-Amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhIP) is one of the most abundant heterocyclic amines (HCAs) generated from overcooking meat at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on",PhIP acts as INDIRECT-REGULATOR for what entity? ,c-fos,-1.0,-1.0
" Effects of 2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhI ) on histopathology, oxidative stress, and expression of c-fos, c-jun and p16 in rat stomachs.2-Amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhIP) is one of the most abundant heterocyclic amines (HCAs) generated from overcooking meat at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on",PhIP acts as INDIRECT-REGULATOR for what entity? ,c-jun,137.0,132.0
" Effects of 2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhI ) on histopathology, oxidative stress, and expression of c-fos, c-jun and p16 in rat stomachs.2-Amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine (PhIP) is one of the most abundant heterocyclic amines (HCAs) generated from overcooking meat at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on",PhIP acts as INDIRECT-REGULATOR for what entity? ,p16,145.0,142.0
" PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at the doses of 10mg/kg and/or 15mg/kg significantly inhibited p16 mRNA and protein expression, whereas enhanced c-fos and c-jun expression relative to control. The data indicated that PhIP could cause stomach injury, oxidative stress in rat stomachs as well as the activation of c-fos and c-jun and inactivation of p16, which may play a role in the pathogenesis of PhIP-associated stomach cancer.",PhIP acts as ACTIVATOR for what entity? ,c-fos,298.0,293.0
" PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at the doses of 10mg/kg and/or 15mg/kg significantly inhibited p16 mRNA and protein expression, whereas enhanced c-fos and c-jun expression relative to control. The data indicated that PhIP could cause stomach injury, oxidative stress in rat stomachs as well as the activation of c-fos and c-jun and inactivation of p16, which may play a role in the pathogenesis of PhIP-associated stomach cancer.",PhIP acts as ACTIVATOR for what entity? ,c-jun,308.0,303.0
" (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at the doses of 10mg/kg and/or 15mg/kg significantly inhibited p16 mRNA and protein expression, whereas enhanced c-fos and c-jun expression relative to control. The data indicated that PhIP could cause stomach injury, oxidative stress in rat stomachs as well as the activation of c-fos and c-jun and inactivation of",PhIP acts as INDIRECT-UPREGULATOR for what entity? ,c-jun,526.0,521.0
" (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at the doses of 10mg/kg and/or 15mg/kg significantly inhibited p16 mRNA and protein expression, whereas enhanced c-fos and c-jun expression relative to control. The data indicated that PhIP could cause stomach injury, oxidative stress in rat stomachs as well as the activation of c-fos and c-jun and inactivation of",PhIP acts as INDIRECT-UPREGULATOR for what entity? ,c-fos,516.0,511.0
" at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on morphology, oxidative stress, gene expression of c-fos, c-jun and p16 in rat stomachs were investigated. The results showed that (1) 15mg/kg body weight PhIP induced obvious histopathological changes in gastric mucosa; (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at",PhIP acts as UPREGULATOR for what entity? ,catalase,485.0,477.0
" at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on morphology, oxidative stress, gene expression of c-fos, c-jun and p16 in rat stomachs were investigated. The results showed that (1) 15mg/kg body weight PhIP induced obvious histopathological changes in gastric mucosa; (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at",PhIP acts as UPREGULATOR for what entity? ,CAT,-1.0,-1.0
" at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on morphology, oxidative stress, gene expression of c-fos, c-jun and p16 in rat stomachs were investigated. The results showed that (1) 15mg/kg body weight PhIP induced obvious histopathological changes in gastric mucosa; (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at",PhIP acts as DOWNREGULATOR for what entity? ,superoxide dismutase,410.0,390.0
" at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on morphology, oxidative stress, gene expression of c-fos, c-jun and p16 in rat stomachs were investigated. The results showed that (1) 15mg/kg body weight PhIP induced obvious histopathological changes in gastric mucosa; (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at",PhIP acts as DOWNREGULATOR for what entity? ,SOD,-1.0,-1.0
" at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on morphology, oxidative stress, gene expression of c-fos, c-jun and p16 in rat stomachs were investigated. The results showed that (1) 15mg/kg body weight PhIP induced obvious histopathological changes in gastric mucosa; (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at",PhIP acts as DOWNREGULATOR for what entity? ,glutathioneperoxidase,442.0,421.0
" at high temperatures. To understand the possible mechanism of PhIP-associated stomach cancer, the effects of PhIP on morphology, oxidative stress, gene expression of c-fos, c-jun and p16 in rat stomachs were investigated. The results showed that (1) 15mg/kg body weight PhIP induced obvious histopathological changes in gastric mucosa; (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at",PhIP acts as DOWNREGULATOR for what entity? ,GPx,-1.0,-1.0
" (2) PhIP (10 and/or 15mg/kg) significantly decreased superoxide dismutase (SOD) and glutathioneperoxidase (GPx) activities, while increased catalase (CAT) activity compared with the control. With the elevated doses of PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at the doses of 10mg/kg and/or 15mg/kg significantly inhibited p16 mRNA and protein expression, whereas enhanced c-fos and c-jun expression relative to control. The data indicated that PhIP could cause stomach injury, oxidative stress in rat stomachs as well as the activation of c-fos and c-jun and inactivation of",PhIP acts as INDIRECT-DOWNREGULATOR for what entity? ,p16,464.0,461.0
" PhIP, malondialdehyde (MDA) contents, protein carbonyl (PCO) contents and DNA-protein crosslinks (DPC) coefficients were significantly raised in a dose-dependent manner; (3) PhIP at the doses of 10mg/kg and/or 15mg/kg significantly inhibited p16 mRNA and protein expression, whereas enhanced c-fos and c-jun expression relative to control. The data indicated that PhIP could cause stomach injury, oxidative stress in rat stomachs as well as the activation of c-fos and c-jun and inactivation of p16, which may play a role in the pathogenesis of PhIP-associated stomach cancer.",PhIP acts as INHIBITOR for what entity? ,p16,246.0,243.0
" pharmacokinetic model for the oxime TMB-4: simulation of rodent and human data.Multiple oximes have been synthesized and evaluated for use as countermeasures against chemical warfare nerve agents. The current U.S. military and civilian oxime countermeasure, 2-[(hydroxyimino)methyl]-1-methylpyridin-1-ium chloride (2-PAM), is under consideration for replacement with a more effective acetylcholinesterase reactivator, 1,1'-methylenebis{4-hydroxyiminomethyl}pyridinium dimethanesulfonate (MMB-4). Kinetic data in the scientific literature for MMB-4 are limited; therefore, a physiologically based pharmacokinetic (PBPK) model was developed for a structurally related oxime, 1,1'-trimethylenebis{4-hydroximinomethyl}pyridinium dibromide. Based on a previous model structure for the organophosphate diisopropylfluorophosphate, the model includes key sites of acetylcholinesterase inhibition (brain and diaphragm), as","1,1'-methylenebis{4-hydroxyiminomethyl}pyridinium dimethanesulfonate acts as ACTIVATOR for what entity? ",acetylcholinesterase,405.0,385.0
" the oxime TMB-4: simulation of rodent and human data.Multiple oximes have been synthesized and evaluated for use as countermeasures against chemical warfare nerve agents. The current U.S. military and civilian oxime countermeasure, 2-[(hydroxyimino)methyl]-1-methylpyridin-1-ium chloride (2-PAM), is under consideration for replacement with a more effective acetylcholinesterase reactivator, 1,1'-methylenebis{4-hydroxyiminomethyl}pyridinium dimethanesulfonate ( MMB-4 . Kinetic data in the scientific literature for MMB-4 are limited; therefore, a physiologically based pharmacokinetic (PBPK) model was developed for a structurally related oxime, 1,1'-trimethylenebis{4-hydroximinomethyl}pyridinium dibromide. Based on a previous model structure for the organophosphate diisopropylfluorophosphate, the model includes key sites of acetylcholinesterase inhibition (brain and diaphragm), as",MMB-4 acts as ACTIVATOR for what entity? ,acetylcholinesterase,379.0,359.0
" real-time polymerase chain reaction analysis showed that following the exposure of cells to SiO(2) NPs, the messenger RNA level of apoptotic genes (caspase-3 and caspase-9) were upregulated in a dose-dependent manner. Moreover, activities of caspase-3 and caspase-9 enzymes were also significantly higher in both kinds of cells exposed to SiO(2) NPs. This study suggested that SiO(2) NPs induce cytotoxicity and apoptosis in A431 and A549 cells, which is likely to be mediated through ROS generation and oxidative stress.",SiO(2) acts as ACTIVATOR for what entity? ,caspase-3,252.0,243.0
" real-time polymerase chain reaction analysis showed that following the exposure of cells to SiO(2) NPs, the messenger RNA level of apoptotic genes (caspase-3 and caspase-9) were upregulated in a dose-dependent manner. Moreover, activities of caspase-3 and caspase-9 enzymes were also significantly higher in both kinds of cells exposed to SiO(2) NPs. This study suggested that SiO(2) NPs induce cytotoxicity and apoptosis in A431 and A549 cells, which is likely to be mediated through ROS generation and oxidative stress.",SiO(2) acts as ACTIVATOR for what entity? ,caspase-9,266.0,257.0
" (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazoliumbromide) and lactate dehydrogenase leakage assays. SiO(2) NPs were also found to induce oxidative stress in a dose-dependent manner, indicated by depletion of glutathione and induction of reactive oxygen species (ROS) generation and lipid peroxidation. Quantitative real-time polymerase chain reaction analysis showed that following the exposure of cells to SiO(2) NPs, the messenger RNA level of apoptotic genes (caspase-3 and caspase-9) were upregulated in a dose-dependent manner. Moreover, activities of caspase-3 and caspase-9 enzymes were also significantly higher in both kinds of cells exposed to SiO(2) NPs. This study suggested that SiO(2) NPs induce cytotoxicity and apoptosis in A431",SiO(2) acts as INDIRECT-UPREGULATOR for what entity? ,caspase-3,571.0,562.0
" (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazoliumbromide) and lactate dehydrogenase leakage assays. SiO(2) NPs were also found to induce oxidative stress in a dose-dependent manner, indicated by depletion of glutathione and induction of reactive oxygen species (ROS) generation and lipid peroxidation. Quantitative real-time polymerase chain reaction analysis showed that following the exposure of cells to SiO(2) NPs, the messenger RNA level of apoptotic genes (caspase-3 and caspase-9) were upregulated in a dose-dependent manner. Moreover, activities of caspase-3 and caspase-9 enzymes were also significantly higher in both kinds of cells exposed to SiO(2) NPs. This study suggested that SiO(2) NPs induce cytotoxicity and apoptosis in A431",SiO(2) acts as INDIRECT-UPREGULATOR for what entity? ,caspase-9,585.0,576.0
" Characterization of four new mouse cytochrome P450 enzymes of the CYP2J subfamily.The cytochrome P450 superfamily encompasses a diverse group of enzymes that catalyze the oxidation of various substrates. The mouse CYP2J subfamily includes members that have wide tissue distribution and are active in the metabolism of arachidonic acid (AA), linoleic acid (LA), and other lipids and xenobiotics. The mouse Cyp2j locus contains seven genes and three pseudogenes located in a contiguous 0.62 megabase cluster on chromosome 4. We describe four new mouse CYP2J isoforms (designated CYP2J8, CYP2J11, CYP2J12, and CYP2J13). The four cDNAs contain open reading frames",arachidonic acid acts as SUBSTRATE for what entity? ,CYP2J,72.0,67.0
" Characterization of four new mouse cytochrome P450 enzymes of the CYP2J subfamily.The cytochrome P450 superfamily encompasses a diverse group of enzymes that catalyze the oxidation of various substrates. The mouse CYP2J subfamily includes members that have wide tissue distribution and are active in the metabolism of arachidonic acid (AA), linoleic acid (LA), and other lipids and xenobiotics. The mouse Cyp2j locus contains seven genes and three pseudogenes located in a contiguous 0.62 megabase cluster on chromosome 4. We describe four new mouse CYP2J isoforms (designated CYP2J8, CYP2J11, CYP2J12, and CYP2J13). The four cDNAs contain open reading frames that encode polypeptides",linoleic acid acts as SUBSTRATE for what entity? ,CYP2J,72.0,67.0
" the renin-angiotensin-aldosterone system and oxidative stress activate and upregulate MMPs. Therefore, MMP inhibition may prevent the deleterious consequences of hypertension to the cardiovascular system. This review article will focus on growing evidence supporting the relevance of MMPs in hypertension and the effects of MMP inhibitors. Particularly, the effects of doxycycline used as a non selective MMP inhibitor in experimental and clinical studies will be discussed.",doxycycline acts as INHIBITOR for what entity? ,MMP,107.0,104.0
" formation in microvessels, and functional studies demonstrated that TES-induced vasodilation was inhibited by scavenging peroxynitrite. As predicted, TES enhanced the production of both peroxynitrite precursors (i.e., superoxide and nitic oxide), and xanthine oxidase was identified as the likely source of TES-stimulated superoxide production. Functional and biochemical studies indicated that TES signaling involved activity of the phosphoinositide 3 (PI3) kinase-protein kinase B (Akt) cascade initiated by activation of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches, provide evidence for a novel nongenomic signaling mechanism",TES acts as REGULATOR for what entity? ,phosphoinositide 3 (PI3) kinase,-1.0,-1.0
" formation in microvessels, and functional studies demonstrated that TES-induced vasodilation was inhibited by scavenging peroxynitrite. As predicted, TES enhanced the production of both peroxynitrite precursors (i.e., superoxide and nitic oxide), and xanthine oxidase was identified as the likely source of TES-stimulated superoxide production. Functional and biochemical studies indicated that TES signaling involved activity of the phosphoinositide 3 (PI3) kinase-protein kinase B (Akt) cascade initiated by activation of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches, provide evidence for a novel nongenomic signaling mechanism",TES acts as REGULATOR for what entity? ,protein kinase B,-1.0,-1.0
" formation in microvessels, and functional studies demonstrated that TES-induced vasodilation was inhibited by scavenging peroxynitrite. As predicted, TES enhanced the production of both peroxynitrite precursors (i.e., superoxide and nitic oxide), and xanthine oxidase was identified as the likely source of TES-stimulated superoxide production. Functional and biochemical studies indicated that TES signaling involved activity of the phosphoinositide 3 (PI3) kinase-protein kinase B (Akt) cascade initiated by activation of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches, provide evidence for a novel nongenomic signaling mechanism",TES acts as REGULATOR for what entity? ,Akt,-1.0,-1.0
" formation in microvessels, and functional studies demonstrated that TES-induced vasodilation was inhibited by scavenging peroxynitrite. As predicted, TES enhanced the production of both peroxynitrite precursors (i.e., superoxide and nitic oxide), and xanthine oxidase was identified as the likely source of TES-stimulated superoxide production. Functional and biochemical studies indicated that TES signaling involved activity of the phosphoinositide 3 (PI3) kinase-protein kinase B (Akt) cascade initiated by activation of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches, provide evidence for a novel nongenomic signaling mechanism",TES acts as ACTIVATOR for what entity? ,androgen receptor,546.0,529.0
" (Akt) cascade initiated by activation of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches, provide evidence for a novel nongenomic signaling mechanism for androgen action in the microvasculature: TES-stimulated vasodilation mediated primarily by peroxynitrite formed from xanthine oxidase-generated superoxide and NO. This response was associated with activation of the PI3 kinase-Akt signaling cascade initiated by activation of the androgen receptor. We propose this mechanism could account for TES-stimulated cGMP production in microvessels and, ultimately, vasodilation.",peroxynitrite acts as PRODUCT-OF for what entity? ,xanthine oxidase,-1.0,-1.0
" of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches, provide evidence for a novel nongenomic signaling mechanism for androgen action in the microvasculature: TES-stimulated vasodilation mediated primarily by peroxynitrite formed from xanthine oxidase-generated superoxide and NO. This response was associated with activation of the PI3 kinase-Akt signaling cascade initiated by activation of the androgen receptor. We propose this mechanism could account for TES-stimulated cGMP production in microvessels and, ultimately, vasodilation.",superoxide acts as PRODUCT-OF for what entity? ,xanthine oxidase,-1.0,-1.0
" androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and functional approaches, provide evidence for a novel nongenomic signaling mechanism for androgen action in the microvasculature: TES-stimulated vasodilation mediated primarily by peroxynitrite formed from xanthine oxidase-generated superoxide and NO This response was associated with activation of the PI3 kinase-Akt signaling cascade initiated by activation of the androgen receptor. We propose this mechanism could account for TES-stimulated cGMP production in microvessels and, ultimately, vasodilation.",NO acts as PRODUCT-OF for what entity? ,xanthine oxidase,-1.0,-1.0
" and nitrotyrosine immunoblot experiments indicated that TES stimulated peroxynitrite formation in microvessels, and functional studies demonstrated that TES-induced vasodilation was inhibited by scavenging peroxynitrite. As predicted, TES enhanced the production of both peroxynitrite precursors (i.e., superoxide and nitic oxide), and xanthine oxidase was identified as the likely source of TES stimulated superoxide production. Functional and biochemical studies indicated that TES signaling involved activity of the phosphoinositide 3 (PI3) kinase-protein kinase B (Akt) cascade initiated by activation of the androgen receptor and culminated in enhanced production of cGMP and microvascular vasodilation. These findings, derived from a variety of analytical and",TES acts as PRODUCT-OF for what entity? ,xanthine oxidase,353.0,337.0
